FeedbackId,FeedbackNumber,Ticket,Park,Ride,SubmittedAt,Channel,Rating,Sentiment,Topic,Summary,RequiresFollowUp
32,FDB0000032,2181,3,,2026-07-22T16:00:00Z,KIOSK,3,POSITIVE,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
33,FDB0000033,2848,6,,2026-07-03T00:00:00Z,SMS,3,NEGATIVE,CLEANLINESS,tables and walkways stayed messy during peak lunch time,False
34,FDB0000034,681,3,,2026-06-22T21:15:00Z,KIOSK,2,NEGATIVE,STAFF_FRIENDLINESS,staff instructions were inconsistent at the ride entrance,True
35,FDB0000035,3983,6,14,2026-06-05T14:45:00Z,MOBILE_SURVEY,3,NEGATIVE,MASCOT_EXPERIENCE,the entertainment lineup was harder to find than expected,False
36,FDB0000036,182,4,,2026-05-19T19:45:00Z,MOBILE_SURVEY,5,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
37,FDB0000037,3023,6,,2026-06-06T01:15:00Z,MOBILE_SURVEY,5,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
38,FDB0000038,203,3,96,2026-07-24T03:45:00Z,KIOSK,5,NEUTRAL,WAIT_TIME,staff kept the line moving and communicated well,False
39,FDB0000039,3736,1,31,2026-05-17T20:30:00Z,MOBILE_SURVEY,5,POSITIVE,MASCOT_EXPERIENCE,the character interaction felt organized and memorable,False
40,FDB0000040,2025,3,,2026-07-13T15:45:00Z,MOBILE_SURVEY,4,POSITIVE,CLEANLINESS,the park looked polished even during the afternoon rush,False
41,FDB0000041,1129,5,36,2026-05-10T15:30:00Z,KIOSK,3,POSITIVE,RIDE_DOWNTIME,recovery options made the outage less frustrating,False
42,FDB0000042,899,3,72,2026-05-09T13:15:00Z,MOBILE_SURVEY,3,POSITIVE,ACCESSIBILITY,accessibility staff explained the process clearly and respectfully,False
43,FDB0000043,1287,4,4,2026-08-19T06:30:00Z,EMAIL,2,NEGATIVE,MASCOT_EXPERIENCE,photo timing around the character greeting felt rushed,True
44,FDB0000044,263,5,,2026-08-20T00:00:00Z,EMAIL,3,POSITIVE,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
45,FDB0000045,4023,5,55,2026-07-14T18:15:00Z,KIOSK,2,NEGATIVE,MASCOT_EXPERIENCE,the mascot set ended abruptly and confused guests nearby,True
46,FDB0000046,2368,4,,2026-07-07T05:30:00Z,MOBILE_SURVEY,5,POSITIVE,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
47,FDB0000047,1561,2,29,2026-06-21T02:30:00Z,MOBILE_SURVEY,1,NEGATIVE,ACCESSIBILITY,accessibility steps changed between attractions,True
48,FDB0000048,3244,6,76,2026-08-12T02:00:00Z,EMAIL,5,POSITIVE,MASCOT_EXPERIENCE,the character interaction felt organized and memorable,False
49,FDB0000049,2577,2,,2026-06-06T14:45:00Z,SMS,5,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
50,FDB0000050,3940,6,23,2026-07-27T13:15:00Z,MOBILE_SURVEY,3,POSITIVE,MASCOT_EXPERIENCE,the character interaction felt organized and memorable,False
51,FDB0000051,2357,5,47,2026-06-04T19:15:00Z,KIOSK,2,NEGATIVE,RIDE_DOWNTIME,multiple closures made the headline attraction hard to enjoy,True
52,FDB0000052,1315,3,,2026-07-11T19:15:00Z,MOBILE_SURVEY,2,NEGATIVE,CLEANLINESS,tables and walkways stayed messy during peak lunch time,True
53,FDB0000053,3367,3,78,2026-08-26T17:00:00Z,CHATBOT,3,POSITIVE,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
54,FDB0000054,1207,3,,2026-07-23T08:45:00Z,EMAIL,5,POSITIVE,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
55,FDB0000055,865,5,66,2026-07-18T16:00:00Z,MOBILE_SURVEY,3,POSITIVE,ACCESSIBILITY,support options made the visit much easier to manage,False
56,FDB0000056,1376,5,15,2026-06-15T17:45:00Z,EMAIL,3,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
57,FDB0000057,3258,6,,2026-08-05T05:15:00Z,EMAIL,2,NEGATIVE,VALUE,the experience felt expensive once extras were added,True
58,FDB0000058,3951,3,,2026-05-22T07:45:00Z,MOBILE_SURVEY,3,POSITIVE,STAFF_FRIENDLINESS,staff handled questions quickly and stayed upbeat,False
59,FDB0000059,2867,4,53,2026-05-09T06:15:00Z,EMAIL,5,POSITIVE,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
60,FDB0000060,1571,3,82,2026-08-26T00:15:00Z,MOBILE_SURVEY,4,POSITIVE,RIDE_DOWNTIME,staff kept the downtime announcement short and well managed,False
61,FDB0000061,1508,3,,2026-07-08T00:45:00Z,MOBILE_SURVEY,2,NEGATIVE,VALUE,the experience felt expensive once extras were added,True
62,FDB0000062,953,5,,2026-07-01T12:45:00Z,SMS,5,NEUTRAL,STAFF_FRIENDLINESS,staff handled questions quickly and stayed upbeat,False
63,FDB0000063,2186,1,,2026-06-15T23:30:00Z,MOBILE_SURVEY,3,NEGATIVE,CLEANLINESS,trash overflow was noticeable in one of the busiest zones,False
64,FDB0000064,3709,5,,2026-07-31T12:30:00Z,EMAIL,4,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
65,FDB0000065,3223,1,54,2026-06-18T01:00:00Z,EMAIL,5,NEUTRAL,ACCESSIBILITY,alternate entrance handling was smooth and well staffed,False
66,FDB0000066,2455,3,72,2026-06-18T13:45:00Z,MOBILE_SURVEY,5,NEUTRAL,ACCESSIBILITY,support options made the visit much easier to manage,False
67,FDB0000067,2720,3,39,2026-07-23T10:15:00Z,KIOSK,2,NEGATIVE,ACCESSIBILITY,the process required too many separate explanations,True
68,FDB0000068,3085,2,,2026-07-29T00:00:00Z,MOBILE_SURVEY,5,NEUTRAL,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
69,FDB0000069,1316,5,112,2026-08-06T22:00:00Z,EMAIL,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
70,FDB0000070,2109,5,112,2026-06-26T21:45:00Z,CHATBOT,2,NEGATIVE,RIDE_DOWNTIME,the ride went down with very little communication,True
71,FDB0000071,2705,6,,2026-08-25T10:15:00Z,KIOSK,2,NEGATIVE,STAFF_FRIENDLINESS,staff instructions were inconsistent at the ride entrance,True
72,FDB0000072,819,3,100,2026-08-19T12:45:00Z,EMAIL,4,POSITIVE,RIDE_DOWNTIME,the team explained the delay clearly and offered alternatives,False
73,FDB0000073,1850,4,19,2026-08-13T00:45:00Z,KIOSK,2,NEGATIVE,ACCESSIBILITY,accessibility steps changed between attractions,True
74,FDB0000074,3561,4,77,2026-08-22T05:00:00Z,MOBILE_SURVEY,5,POSITIVE,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
75,FDB0000075,1708,2,12,2026-07-09T08:30:00Z,EMAIL,4,POSITIVE,RIDE_DOWNTIME,the team explained the delay clearly and offered alternatives,False
76,FDB0000076,3808,5,,2026-07-26T12:15:00Z,MOBILE_SURVEY,5,NEUTRAL,CLEANLINESS,the park looked polished even during the afternoon rush,False
77,FDB0000077,2168,4,,2026-06-09T18:15:00Z,EMAIL,5,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
78,FDB0000078,2874,1,,2026-05-23T09:00:00Z,KIOSK,5,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
79,FDB0000079,6,5,,2026-07-12T08:45:00Z,CHATBOT,2,NEGATIVE,CLEANLINESS,tables and walkways stayed messy during peak lunch time,True
80,FDB0000080,562,4,,2026-06-18T19:00:00Z,SMS,2,NEGATIVE,FOOD_SERVICE,the dining line and order handoff felt disorganized,True
81,FDB0000081,263,5,109,2026-08-19T17:45:00Z,CHATBOT,5,POSITIVE,MASCOT_EXPERIENCE,the character interaction felt organized and memorable,False
82,FDB0000082,2812,4,,2026-05-04T03:45:00Z,KIOSK,4,POSITIVE,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
83,FDB0000083,2041,6,,2026-06-17T16:00:00Z,EMAIL,3,POSITIVE,VALUE,the ticket felt worth it once the add-ons were used,False
84,FDB0000084,1676,3,,2026-06-13T19:45:00Z,MOBILE_SURVEY,4,POSITIVE,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
85,FDB0000085,31,1,71,2026-06-19T13:00:00Z,CHATBOT,5,POSITIVE,WAIT_TIME,staff kept the line moving and communicated well,False
86,FDB0000086,3887,5,,2026-06-09T22:45:00Z,KIOSK,3,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
87,FDB0000087,1918,1,26,2026-08-19T16:30:00Z,KIOSK,3,NEGATIVE,RIDE_DOWNTIME,downtime disrupted the visit more than expected,True
88,FDB0000088,4013,1,,2026-06-14T01:00:00Z,MOBILE_SURVEY,4,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
89,FDB0000089,3601,3,42,2026-05-22T08:00:00Z,EMAIL,4,NEUTRAL,RIDE_DOWNTIME,recovery options made the outage less frustrating,False
90,FDB0000090,1943,5,,2026-06-04T16:00:00Z,MOBILE_SURVEY,3,NEGATIVE,FOOD_SERVICE,food pickup lagged behind the quoted collection time,False
91,FDB0000091,3374,5,,2026-05-04T21:00:00Z,EMAIL,4,POSITIVE,VALUE,mobile offers made the day feel better priced,False
92,FDB0000092,2716,1,,2026-07-12T09:00:00Z,SMS,3,NEGATIVE,FOOD_SERVICE,food pickup lagged behind the quoted collection time,False
93,FDB0000093,860,3,,2026-05-26T17:15:00Z,CHATBOT,2,NEGATIVE,FOOD_SERVICE,the dining line and order handoff felt disorganized,True
94,FDB0000094,1021,2,,2026-06-18T17:45:00Z,MOBILE_SURVEY,2,NEGATIVE,CLEANLINESS,tables and walkways stayed messy during peak lunch time,True
95,FDB0000095,1522,4,,2026-07-05T02:30:00Z,MOBILE_SURVEY,5,NEUTRAL,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
96,FDB0000096,427,1,54,2026-06-11T06:15:00Z,KIOSK,5,POSITIVE,WAIT_TIME,virtual queue timing was clearer than expected,False
97,FDB0000097,3154,3,57,2026-08-15T01:15:00Z,EMAIL,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
98,FDB0000098,1570,1,,2026-07-27T17:45:00Z,KIOSK,5,POSITIVE,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
99,FDB0000099,301,3,28,2026-07-26T11:30:00Z,SMS,3,NEUTRAL,WAIT_TIME,staff kept the line moving and communicated well,False
100,FDB0000100,3664,5,,2026-05-24T13:30:00Z,MOBILE_SURVEY,4,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
101,FDB0000101,166,2,,2026-07-28T21:00:00Z,KIOSK,2,NEGATIVE,FOOD_SERVICE,the dining line and order handoff felt disorganized,True
102,FDB0000102,1130,3,,2026-06-16T09:15:00Z,MOBILE_SURVEY,4,POSITIVE,STAFF_FRIENDLINESS,"operators were calm, friendly, and clear with instructions",False
103,FDB0000103,2676,5,,2026-07-17T23:15:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
104,FDB0000104,4139,4,4,2026-07-17T19:00:00Z,EMAIL,5,POSITIVE,ACCESSIBILITY,accessibility staff explained the process clearly and respectfully,False
105,FDB0000105,1245,6,101,2026-06-29T12:00:00Z,EMAIL,3,NEGATIVE,MASCOT_EXPERIENCE,the mascot set ended abruptly and confused guests nearby,False
106,FDB0000106,956,1,33,2026-06-14T13:30:00Z,CHATBOT,5,POSITIVE,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
107,FDB0000107,1521,3,39,2026-07-28T04:00:00Z,EMAIL,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
108,FDB0000108,1000,5,,2026-07-29T16:00:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
109,FDB0000109,768,2,,2026-06-05T14:30:00Z,KIOSK,4,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
110,FDB0000110,2321,2,16,2026-08-11T06:15:00Z,MOBILE_SURVEY,5,POSITIVE,RIDE_DOWNTIME,staff kept the downtime announcement short and well managed,False
111,FDB0000111,2648,3,25,2026-06-12T09:30:00Z,MOBILE_SURVEY,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
112,FDB0000112,1886,2,80,2026-06-04T18:45:00Z,MOBILE_SURVEY,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
113,FDB0000113,3858,3,6,2026-07-01T19:15:00Z,MOBILE_SURVEY,4,POSITIVE,ACCESSIBILITY,support options made the visit much easier to manage,False
114,FDB0000114,2902,2,91,2026-05-22T19:00:00Z,KIOSK,3,POSITIVE,RIDE_DOWNTIME,recovery options made the outage less frustrating,False
115,FDB0000115,3900,3,,2026-08-16T19:15:00Z,KIOSK,5,POSITIVE,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
116,FDB0000116,3115,3,,2026-06-10T22:45:00Z,MOBILE_SURVEY,3,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
117,FDB0000117,3191,5,,2026-08-18T20:15:00Z,KIOSK,5,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
118,FDB0000118,3351,4,,2026-05-05T14:15:00Z,KIOSK,5,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
119,FDB0000119,59,3,,2026-06-19T20:30:00Z,MOBILE_SURVEY,2,NEGATIVE,FOOD_SERVICE,food pickup lagged behind the quoted collection time,True
120,FDB0000120,1295,2,,2026-07-24T05:15:00Z,KIOSK,3,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
121,FDB0000121,3557,2,,2026-05-17T07:00:00Z,MOBILE_SURVEY,3,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
122,FDB0000122,3100,5,,2026-05-12T06:30:00Z,MOBILE_SURVEY,5,NEUTRAL,CLEANLINESS,restrooms and public walkways stayed clean all day,False
123,FDB0000123,2010,5,46,2026-08-23T14:00:00Z,MOBILE_SURVEY,4,POSITIVE,RIDE_DOWNTIME,recovery options made the outage less frustrating,False
124,FDB0000124,1070,1,,2026-08-01T22:30:00Z,SMS,4,POSITIVE,VALUE,mobile offers made the day feel better priced,False
125,FDB0000125,1592,1,,2026-07-25T14:15:00Z,MOBILE_SURVEY,4,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
126,FDB0000126,4048,3,20,2026-06-21T07:45:00Z,EMAIL,3,NEUTRAL,WAIT_TIME,staff kept the line moving and communicated well,False
127,FDB0000127,3194,3,,2026-06-09T13:15:00Z,KIOSK,5,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
128,FDB0000128,2454,3,,2026-08-05T03:00:00Z,KIOSK,4,POSITIVE,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
129,FDB0000129,2568,3,,2026-06-17T18:30:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
130,FDB0000130,1537,3,78,2026-06-03T07:00:00Z,MOBILE_SURVEY,4,NEUTRAL,ACCESSIBILITY,support options made the visit much easier to manage,False
131,FDB0000131,132,1,,2026-08-06T21:15:00Z,KIOSK,5,POSITIVE,CLEANLINESS,the park looked polished even during the afternoon rush,False
132,FDB0000132,3955,1,,2026-07-31T17:15:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
133,FDB0000133,3339,6,61,2026-08-22T01:15:00Z,MOBILE_SURVEY,5,POSITIVE,WAIT_TIME,staff kept the line moving and communicated well,False
134,FDB0000134,809,5,,2026-07-10T00:00:00Z,MOBILE_SURVEY,3,NEGATIVE,STAFF_FRIENDLINESS,the response at the counter felt rushed and impersonal,False
135,FDB0000135,1735,2,27,2026-07-24T21:00:00Z,KIOSK,2,NEGATIVE,WAIT_TIME,line management felt confusing during the busiest hour,True
136,FDB0000136,2073,3,,2026-06-03T13:15:00Z,SMS,2,NEGATIVE,STAFF_FRIENDLINESS,it took too long to find someone who could help,True
137,FDB0000137,1001,3,,2026-06-08T10:30:00Z,MOBILE_SURVEY,3,NEGATIVE,VALUE,the experience felt expensive once extras were added,True
138,FDB0000138,2893,5,,2026-06-06T16:00:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,food service stayed efficient even during a busy window,False
139,FDB0000139,2649,3,,2026-08-29T22:00:00Z,SMS,3,NEGATIVE,VALUE,premium access pricing was hard to justify,True
140,FDB0000140,471,6,,2026-05-03T16:30:00Z,EMAIL,3,NEGATIVE,FOOD_SERVICE,the dining line and order handoff felt disorganized,False
141,FDB0000141,736,6,,2026-07-21T04:45:00Z,MOBILE_SURVEY,5,POSITIVE,CLEANLINESS,cleanup crews were visible without getting in the way,False
142,FDB0000142,100,3,82,2026-06-06T23:15:00Z,MOBILE_SURVEY,5,POSITIVE,ACCESSIBILITY,accessibility staff explained the process clearly and respectfully,False
143,FDB0000143,4180,5,,2026-06-25T23:30:00Z,MOBILE_SURVEY,4,NEUTRAL,STAFF_FRIENDLINESS,staff handled questions quickly and stayed upbeat,False
144,FDB0000144,3957,3,25,2026-05-31T11:30:00Z,EMAIL,1,NEGATIVE,RIDE_DOWNTIME,multiple closures made the headline attraction hard to enjoy,True
145,FDB0000145,1903,2,,2026-07-24T07:45:00Z,KIOSK,4,POSITIVE,CLEANLINESS,restrooms and public walkways stayed clean all day,False
146,FDB0000146,1988,3,8,2026-05-11T21:15:00Z,EMAIL,3,NEGATIVE,WAIT_TIME,wait time information changed too often in the app,False
147,FDB0000147,2927,1,99,2026-05-07T20:30:00Z,MOBILE_SURVEY,5,NEUTRAL,RIDE_DOWNTIME,staff kept the downtime announcement short and well managed,False
148,FDB0000148,3320,5,,2026-07-13T17:30:00Z,EMAIL,5,POSITIVE,VALUE,the mix of rides and entertainment justified the price,False
149,FDB0000149,2546,1,,2026-06-12T14:45:00Z,EMAIL,4,POSITIVE,CLEANLINESS,the park looked polished even during the afternoon rush,False
150,FDB0000150,764,5,,2026-07-25T08:30:00Z,EMAIL,5,NEUTRAL,STAFF_FRIENDLINESS,staff handled questions quickly and stayed upbeat,False
151,FDB0000151,1497,3,13,2026-05-06T00:45:00Z,SMS,4,POSITIVE,RIDE_DOWNTIME,the team explained the delay clearly and offered alternatives,False
152,FDB0000152,3715,5,,2026-05-19T17:00:00Z,KIOSK,5,POSITIVE,VALUE,the ticket felt worth it once the add-ons were used,False
153,FDB0000153,3388,2,,2026-08-17T08:30:00Z,KIOSK,2,NEGATIVE,CLEANLINESS,restroom upkeep fell behind the crowd volume,True
154,FDB0000154,1675,1,,2026-07-09T18:45:00Z,MOBILE_SURVEY,3,NEUTRAL,FOOD_SERVICE,the dining team handled dietary questions well,False
155,FDB0000155,66,2,75,2026-05-27T23:45:00Z,MOBILE_SURVEY,1,NEGATIVE,ACCESSIBILITY,accessibility steps changed between attractions,True
156,FDB0000156,2070,6,,2026-05-09T03:00:00Z,EMAIL,5,POSITIVE,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
157,FDB0000157,1189,2,58,2026-06-19T20:30:00Z,EMAIL,5,POSITIVE,MASCOT_EXPERIENCE,the character interaction felt organized and memorable,False
158,FDB0000158,2130,1,,2026-07-06T02:45:00Z,EMAIL,5,POSITIVE,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
159,FDB0000159,62,3,,2026-05-28T00:15:00Z,MOBILE_SURVEY,2,NEGATIVE,VALUE,premium access pricing was hard to justify,True
160,FDB0000160,2634,3,,2026-05-22T18:45:00Z,KIOSK,3,NEUTRAL,CLEANLINESS,cleanup crews were visible without getting in the way,False
161,FDB0000161,3132,5,9,2026-06-06T17:15:00Z,EMAIL,5,POSITIVE,WAIT_TIME,virtual queue timing was clearer than expected,False
162,FDB0000162,2055,3,,2026-07-08T12:30:00Z,MOBILE_SURVEY,4,NEUTRAL,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
163,FDB0000163,2168,4,77,2026-06-09T21:30:00Z,MOBILE_SURVEY,1,NEGATIVE,MASCOT_EXPERIENCE,photo timing around the character greeting felt rushed,True
164,FDB0000164,440,3,,2026-06-26T04:15:00Z,EMAIL,2,NEGATIVE,VALUE,premium access pricing was hard to justify,True
165,FDB0000165,1577,3,65,2026-08-08T14:45:00Z,SMS,5,POSITIVE,WAIT_TIME,virtual queue timing was clearer than expected,False
166,FDB0000166,2488,5,109,2026-05-27T22:15:00Z,MOBILE_SURVEY,5,NEUTRAL,MASCOT_EXPERIENCE,mascot timing and photo flow worked really well,False
167,FDB0000167,3490,5,32,2026-07-12T05:15:00Z,EMAIL,5,POSITIVE,RIDE_DOWNTIME,staff kept the downtime announcement short and well managed,False
168,FDB0000168,4047,5,46,2026-07-21T17:00:00Z,MOBILE_SURVEY,4,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
169,FDB0000169,2485,2,58,2026-08-11T10:15:00Z,EMAIL,5,POSITIVE,ACCESSIBILITY,support options made the visit much easier to manage,False
170,FDB0000170,1266,2,,2026-05-16T20:30:00Z,MOBILE_SURVEY,5,POSITIVE,CLEANLINESS,the park looked polished even during the afternoon rush,False
171,FDB0000171,1898,3,40,2026-08-17T01:30:00Z,MOBILE_SURVEY,5,POSITIVE,WAIT_TIME,posted wait times stayed close to the actual experience,False
172,FDB0000172,4022,6,,2026-05-09T21:45:00Z,MOBILE_SURVEY,5,POSITIVE,FOOD_SERVICE,the dining team handled dietary questions well,False
173,FDB0000173,264,2,,2026-06-19T22:30:00Z,KIOSK,2,NEGATIVE,FOOD_SERVICE,food pickup lagged behind the quoted collection time,True
174,FDB0000174,2240,2,34,2026-05-19T02:15:00Z,MOBILE_SURVEY,4,NEUTRAL,MASCOT_EXPERIENCE,mascot timing and photo flow worked really well,False
175,FDB0000175,709,4,,2026-08-12T15:00:00Z,KIOSK,3,POSITIVE,FOOD_SERVICE,mobile ordering pickup was faster than expected,False
176,FDB0000176,658,2,,2026-07-04T02:30:00Z,KIOSK,5,NEUTRAL,CLEANLINESS,cleanup crews were visible without getting in the way,False
177,FDB0000177,2865,6,,2026-05-25T21:45:00Z,KIOSK,4,POSITIVE,VALUE,the ticket felt worth it once the add-ons were used,False
178,FDB0000178,3139,5,36,2026-08-15T23:45:00Z,MOBILE_SURVEY,5,POSITIVE,MASCOT_EXPERIENCE,the entertainment team kept the atmosphere lively,False
179,FDB0000179,459,3,72,2026-06-14T00:45:00Z,SMS,2,NEGATIVE,WAIT_TIME,the queue moved slowly and updates were inconsistent,True
180,FDB0000180,376,5,,2026-08-28T13:45:00Z,EMAIL,3,NEUTRAL,STAFF_FRIENDLINESS,guest services solved a problem without a long escalation,False
