RideMaintenanceId,MaintenanceNumber,Ride,ScheduledStart,ActualStart,ActualEnd,MaintenanceType,Status,Severity,DowntimeHours,IssueSummary,VendorName
40,MNT0000040,72,2026-07-03T05:00:00Z,2026-07-03T10:00:00Z,2026-07-03T15:39:36Z,INSPECTION,COMPLETED,MEDIUM,5.66,queue line stalled after merge-point crowding increased wait times,TrackLine
41,MNT0000041,61,2026-08-14T17:00:00Z,2026-08-14T18:00:00Z,2026-08-15T00:55:12Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,6.92,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
42,MNT0000042,10,2026-07-16T22:00:00Z,2026-07-17T04:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,MEDIUM,3.33,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
43,MNT0000043,74,2026-08-10T09:00:00Z,2026-08-10T15:00:00Z,2026-08-10T20:57:00Z,RESTRAINT_TEST,DELAYED,MEDIUM,3.95,ride control panel triggered a protective shutdown during load,Apex Systems
44,MNT0000044,70,2026-08-05T15:00:00Z,2026-08-05T18:00:00Z,2026-08-05T22:00:00Z,COSMETIC,COMPLETED,MEDIUM,4.0,queue line stalled after merge-point crowding increased wait times,LiftWorks
45,MNT0000045,69,2026-08-25T08:00:00Z,2026-08-25T17:00:00Z,2026-08-25T22:03:36Z,RESTRAINT_TEST,COMPLETED,MEDIUM,5.06,vehicle cycle stopped for repeated lap-bar fault signal,ParkTech
46,MNT0000046,49,2026-07-18T20:00:00Z,2026-07-19T03:00:00Z,2026-07-19T05:47:24Z,INSPECTION,COMPLETED,LOW,2.79,guest flow backed up near accessibility entrance and dispatch lane,InHouseOps
47,MNT0000047,87,2026-05-18T11:00:00Z,2026-05-18T14:00:00Z,2026-05-18T15:49:12Z,RESTRAINT_TEST,COMPLETED,MEDIUM,1.82,ride dispatch paused after restraint sensor mismatch,LiftWorks
48,MNT0000048,42,2026-07-23T18:00:00Z,2026-07-24T01:00:00Z,2026-07-24T02:03:36Z,RESTRAINT_TEST,COMPLETED,MEDIUM,1.06,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
49,MNT0000049,76,2026-06-21T10:00:00Z,,,RESTRAINT_TEST,SCHEDULED,MEDIUM,5.47,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
50,MNT0000050,3,2026-07-06T19:00:00Z,,,RESTRAINT_TEST,SCHEDULED,HIGH,4.44,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
51,MNT0000051,98,2026-06-25T02:00:00Z,2026-06-25T05:00:00Z,,INSPECTION,IN_PROGRESS,MEDIUM,6.34,queue line stalled after merge-point crowding increased wait times,LiftWorks
52,MNT0000052,102,2026-06-16T00:00:00Z,2026-06-16T05:00:00Z,2026-06-16T12:32:24Z,COSMETIC,DELAYED,LOW,5.54,queue line stalled after merge-point crowding increased wait times,Apex Systems
53,MNT0000053,77,2026-07-28T02:00:00Z,2026-07-28T05:00:00Z,2026-07-28T08:39:00Z,SENSOR_CALIBRATION,COMPLETED,HIGH,3.65,ride control panel triggered a protective shutdown during load,LiftWorks
54,MNT0000054,7,2026-08-14T15:00:00Z,2026-08-14T17:00:00Z,2026-08-14T23:42:00Z,RESTRAINT_TEST,COMPLETED,HIGH,6.7,ride dispatch paused after restraint sensor mismatch,MotionLab
55,MNT0000055,104,2026-05-19T09:00:00Z,2026-05-19T09:00:00Z,2026-05-19T13:45:00Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,4.75,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
56,MNT0000056,55,2026-07-14T18:00:00Z,2026-07-14T23:00:00Z,2026-07-15T02:26:24Z,SENSOR_CALIBRATION,COMPLETED,HIGH,3.44,ride control panel triggered a protective shutdown during load,InHouseOps
57,MNT0000057,82,2026-05-24T05:00:00Z,2026-05-24T09:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,HIGH,3.81,ride control panel triggered a protective shutdown during load,Apex Systems
58,MNT0000058,14,2026-08-15T16:00:00Z,2026-08-16T00:00:00Z,2026-08-16T03:30:36Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,3.51,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
59,MNT0000059,23,2026-07-22T07:00:00Z,2026-07-22T16:00:00Z,2026-07-22T19:16:12Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,3.27,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
60,MNT0000060,22,2026-07-02T22:00:00Z,2026-07-03T07:00:00Z,2026-07-03T09:56:24Z,COSMETIC,COMPLETED,MEDIUM,2.94,queue line stalled after merge-point crowding increased wait times,ParkTech
61,MNT0000061,97,2026-05-06T17:00:00Z,,,COSMETIC,SCHEDULED,MEDIUM,4.61,queue line stalled after merge-point crowding increased wait times,Apex Systems
62,MNT0000062,93,2026-05-14T19:00:00Z,,,EMERGENCY_REPAIR,SCHEDULED,HIGH,1.75,vehicle cycle stopped for repeated lap-bar fault signal,MotionLab
63,MNT0000063,8,2026-07-27T18:00:00Z,2026-07-27T21:00:00Z,2026-07-28T02:51:00Z,RESTRAINT_TEST,COMPLETED,MEDIUM,5.85,ride dispatch paused after restraint sensor mismatch,InHouseOps
64,MNT0000064,55,2026-07-05T21:00:00Z,2026-07-05T22:00:00Z,2026-07-06T02:40:12Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,4.67,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
65,MNT0000065,56,2026-06-11T01:00:00Z,2026-06-11T07:00:00Z,2026-06-11T09:28:12Z,RESTRAINT_TEST,COMPLETED,HIGH,2.47,vehicle cycle stopped for repeated lap-bar fault signal,MotionLab
66,MNT0000066,34,2026-06-20T20:00:00Z,2026-06-21T03:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,HIGH,3.31,ride control panel triggered a protective shutdown during load,MotionLab
67,MNT0000067,109,2026-07-06T16:00:00Z,2026-07-07T00:00:00Z,2026-07-07T03:31:12Z,INSPECTION,COMPLETED,LOW,3.52,boarding lane disruption caused temporary hold at the platform,LiftWorks
68,MNT0000068,94,2026-05-19T07:00:00Z,2026-05-19T11:00:00Z,2026-05-19T14:07:12Z,RESTRAINT_TEST,COMPLETED,MEDIUM,3.12,vehicle cycle stopped for repeated lap-bar fault signal,ParkTech
69,MNT0000069,22,2026-07-09T16:00:00Z,2026-07-09T17:00:00Z,2026-07-10T00:18:00Z,RESTRAINT_TEST,DELAYED,MEDIUM,5.3,ride control panel triggered a protective shutdown during load,Apex Systems
70,MNT0000070,88,2026-08-21T07:00:00Z,2026-08-21T15:00:00Z,,SENSOR_CALIBRATION,IN_PROGRESS,HIGH,2.03,ride dispatch paused after restraint sensor mismatch,MotionLab
71,MNT0000071,71,2026-06-29T08:00:00Z,2026-06-29T08:00:00Z,2026-06-29T13:16:48Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,5.28,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
72,MNT0000072,82,2026-07-13T15:00:00Z,2026-07-13T20:00:00Z,2026-07-14T03:51:00Z,SENSOR_CALIBRATION,COMPLETED,HIGH,7.85,ride dispatch paused after restraint sensor mismatch,MotionLab
73,MNT0000073,68,2026-07-08T06:00:00Z,2026-07-08T07:00:00Z,2026-07-08T08:04:48Z,INSPECTION,COMPLETED,MEDIUM,1.08,guest flow backed up near accessibility entrance and dispatch lane,ParkTech
74,MNT0000074,81,2026-05-18T21:00:00Z,2026-05-19T00:00:00Z,2026-05-19T03:10:12Z,COSMETIC,COMPLETED,MEDIUM,3.17,guest flow backed up near accessibility entrance and dispatch lane,LiftWorks
75,MNT0000075,78,2026-05-16T09:00:00Z,2026-05-16T18:00:00Z,2026-05-16T19:46:12Z,SENSOR_CALIBRATION,COMPLETED,HIGH,1.77,ride dispatch paused after restraint sensor mismatch,Apex Systems
76,MNT0000076,39,2026-08-12T03:00:00Z,2026-08-12T08:00:00Z,2026-08-12T12:50:24Z,RESTRAINT_TEST,DELAYED,HIGH,2.84,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
77,MNT0000077,43,2026-07-20T22:00:00Z,2026-07-21T00:00:00Z,2026-07-21T01:18:00Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,1.3,ride dispatch paused after restraint sensor mismatch,ParkTech
78,MNT0000078,111,2026-05-26T04:00:00Z,2026-05-26T10:00:00Z,2026-05-26T12:01:48Z,INSPECTION,COMPLETED,MEDIUM,2.03,boarding lane disruption caused temporary hold at the platform,MotionLab
79,MNT0000079,77,2026-05-30T22:00:00Z,2026-05-31T06:00:00Z,2026-05-31T07:42:00Z,RESTRAINT_TEST,COMPLETED,MEDIUM,1.7,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
80,MNT0000080,20,2026-06-22T18:00:00Z,2026-06-23T00:00:00Z,2026-06-23T05:28:12Z,EMERGENCY_REPAIR,COMPLETED,HIGH,5.47,ride dispatch paused after restraint sensor mismatch,InHouseOps
81,MNT0000081,8,2026-08-17T13:00:00Z,2026-08-17T21:00:00Z,2026-08-18T01:45:36Z,INSPECTION,COMPLETED,MEDIUM,4.76,boarding lane disruption caused temporary hold at the platform,InHouseOps
82,MNT0000082,109,2026-07-18T17:00:00Z,2026-07-18T20:00:00Z,2026-07-19T00:18:36Z,RESTRAINT_TEST,DELAYED,MEDIUM,2.31,ride dispatch paused after restraint sensor mismatch,TrackLine
83,MNT0000083,66,2026-05-06T17:00:00Z,2026-05-06T23:00:00Z,2026-05-07T03:54:36Z,EMERGENCY_REPAIR,DELAYED,CRITICAL,2.91,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
84,MNT0000084,81,2026-06-25T19:00:00Z,2026-06-26T01:00:00Z,2026-06-26T04:13:48Z,INSPECTION,COMPLETED,LOW,3.23,guest flow backed up near accessibility entrance and dispatch lane,ParkTech
85,MNT0000085,29,2026-06-22T18:00:00Z,2026-06-23T03:00:00Z,2026-06-23T04:34:12Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,1.57,ride dispatch paused after restraint sensor mismatch,LiftWorks
86,MNT0000086,100,2026-08-23T09:00:00Z,2026-08-23T12:00:00Z,2026-08-23T14:46:12Z,INSPECTION,COMPLETED,LOW,2.77,queue line stalled after merge-point crowding increased wait times,LiftWorks
87,MNT0000087,76,2026-05-22T14:00:00Z,2026-05-22T19:00:00Z,,INSPECTION,IN_PROGRESS,MEDIUM,3.22,guest flow backed up near accessibility entrance and dispatch lane,Apex Systems
88,MNT0000088,96,2026-07-05T10:00:00Z,2026-07-05T14:00:00Z,2026-07-05T18:51:36Z,INSPECTION,COMPLETED,MEDIUM,4.86,boarding lane disruption caused temporary hold at the platform,TrackLine
89,MNT0000089,101,2026-05-14T17:00:00Z,2026-05-14T22:00:00Z,2026-05-15T01:43:12Z,COSMETIC,COMPLETED,MEDIUM,3.72,queue line stalled after merge-point crowding increased wait times,Apex Systems
90,MNT0000090,105,2026-08-24T13:00:00Z,2026-08-24T13:00:00Z,2026-08-24T20:46:48Z,SENSOR_CALIBRATION,COMPLETED,HIGH,7.78,ride dispatch paused after restraint sensor mismatch,InHouseOps
91,MNT0000091,10,2026-06-25T05:00:00Z,2026-06-25T13:00:00Z,2026-06-25T18:43:48Z,SENSOR_CALIBRATION,COMPLETED,HIGH,5.73,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
92,MNT0000092,4,2026-06-09T14:00:00Z,2026-06-09T22:00:00Z,2026-06-10T00:09:00Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,2.15,ride dispatch paused after restraint sensor mismatch,TrackLine
93,MNT0000093,63,2026-05-13T06:00:00Z,2026-05-13T07:00:00Z,,RESTRAINT_TEST,IN_PROGRESS,MEDIUM,2.44,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
94,MNT0000094,106,2026-08-09T09:00:00Z,2026-08-09T16:00:00Z,2026-08-09T21:13:12Z,INSPECTION,DELAYED,MEDIUM,3.22,guest flow backed up near accessibility entrance and dispatch lane,ParkTech
95,MNT0000095,3,2026-06-20T20:00:00Z,2026-06-20T20:00:00Z,2026-06-20T23:27:36Z,RESTRAINT_TEST,DELAYED,HIGH,1.46,vehicle cycle stopped for repeated lap-bar fault signal,Apex Systems
96,MNT0000096,1,2026-07-13T20:00:00Z,2026-07-13T21:00:00Z,2026-07-14T00:49:12Z,COSMETIC,COMPLETED,MEDIUM,3.82,queue line stalled after merge-point crowding increased wait times,InHouseOps
97,MNT0000097,1,2026-05-15T07:00:00Z,2026-05-15T07:00:00Z,2026-05-15T12:00:00Z,EMERGENCY_REPAIR,COMPLETED,HIGH,5.0,ride control panel triggered a protective shutdown during load,InHouseOps
98,MNT0000098,48,2026-05-01T05:00:00Z,2026-05-01T09:00:00Z,,INSPECTION,IN_PROGRESS,LOW,7.05,queue line stalled after merge-point crowding increased wait times,MotionLab
99,MNT0000099,65,2026-08-05T17:00:00Z,2026-08-06T02:00:00Z,2026-08-06T07:33:00Z,INSPECTION,COMPLETED,MEDIUM,5.55,guest flow backed up near accessibility entrance and dispatch lane,LiftWorks
100,MNT0000100,102,2026-06-20T07:00:00Z,2026-06-20T16:00:00Z,2026-06-20T22:21:00Z,COSMETIC,DELAYED,LOW,4.35,queue line stalled after merge-point crowding increased wait times,ParkTech
101,MNT0000101,51,2026-08-15T02:00:00Z,2026-08-15T11:00:00Z,2026-08-15T13:30:00Z,EMERGENCY_REPAIR,COMPLETED,HIGH,2.5,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
102,MNT0000102,38,2026-06-06T16:00:00Z,2026-06-06T17:00:00Z,2026-06-06T22:27:00Z,INSPECTION,COMPLETED,LOW,5.45,queue line stalled after merge-point crowding increased wait times,ParkTech
103,MNT0000103,107,2026-05-26T18:00:00Z,2026-05-27T03:00:00Z,,INSPECTION,IN_PROGRESS,LOW,4.25,boarding lane disruption caused temporary hold at the platform,MotionLab
104,MNT0000104,88,2026-06-18T06:00:00Z,2026-06-18T14:00:00Z,2026-06-18T16:33:36Z,RESTRAINT_TEST,COMPLETED,HIGH,2.56,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
105,MNT0000105,34,2026-06-03T13:00:00Z,2026-06-03T19:00:00Z,2026-06-04T01:57:00Z,RESTRAINT_TEST,COMPLETED,HIGH,6.95,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
106,MNT0000106,76,2026-07-31T14:00:00Z,2026-07-31T15:00:00Z,2026-07-31T19:01:12Z,SENSOR_CALIBRATION,COMPLETED,HIGH,4.02,vehicle cycle stopped for repeated lap-bar fault signal,MotionLab
107,MNT0000107,59,2026-08-03T17:00:00Z,2026-08-04T02:00:00Z,2026-08-04T04:34:12Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,2.57,ride dispatch paused after restraint sensor mismatch,InHouseOps
108,MNT0000108,68,2026-07-08T01:00:00Z,2026-07-08T10:00:00Z,2026-07-08T11:43:48Z,EMERGENCY_REPAIR,COMPLETED,CRITICAL,1.73,vehicle cycle stopped for repeated lap-bar fault signal,ParkTech
109,MNT0000109,42,2026-05-08T22:00:00Z,2026-05-09T01:00:00Z,2026-05-09T07:04:48Z,SENSOR_CALIBRATION,DELAYED,MEDIUM,4.08,ride dispatch paused after restraint sensor mismatch,MotionLab
110,MNT0000110,6,2026-08-26T18:00:00Z,,,INSPECTION,SCHEDULED,MEDIUM,2.18,queue line stalled after merge-point crowding increased wait times,MotionLab
111,MNT0000111,112,2026-05-22T12:00:00Z,2026-05-22T18:00:00Z,2026-05-22T22:36:00Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,4.6,ride dispatch paused after restraint sensor mismatch,InHouseOps
112,MNT0000112,41,2026-07-15T21:00:00Z,2026-07-15T23:00:00Z,2026-07-16T02:33:36Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,3.56,vehicle cycle stopped for repeated lap-bar fault signal,ParkTech
113,MNT0000113,98,2026-05-03T00:00:00Z,2026-05-03T02:00:00Z,2026-05-03T06:23:24Z,RESTRAINT_TEST,COMPLETED,HIGH,4.39,ride dispatch paused after restraint sensor mismatch,Apex Systems
114,MNT0000114,39,2026-07-03T11:00:00Z,2026-07-03T15:00:00Z,2026-07-03T19:54:36Z,SENSOR_CALIBRATION,COMPLETED,HIGH,4.91,vehicle cycle stopped for repeated lap-bar fault signal,TrackLine
115,MNT0000115,22,2026-08-26T08:00:00Z,2026-08-26T09:00:00Z,2026-08-26T12:40:48Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,3.68,ride control panel triggered a protective shutdown during load,TrackLine
116,MNT0000116,20,2026-08-26T18:00:00Z,2026-08-26T18:00:00Z,,COSMETIC,IN_PROGRESS,LOW,3.85,queue line stalled after merge-point crowding increased wait times,InHouseOps
117,MNT0000117,22,2026-06-22T00:00:00Z,2026-06-22T07:00:00Z,,COSMETIC,IN_PROGRESS,MEDIUM,5.74,queue line stalled after merge-point crowding increased wait times,LiftWorks
118,MNT0000118,36,2026-05-27T10:00:00Z,2026-05-27T10:00:00Z,2026-05-27T13:38:24Z,SENSOR_CALIBRATION,DELAYED,HIGH,1.64,vehicle cycle stopped for repeated lap-bar fault signal,MotionLab
119,MNT0000119,11,2026-05-13T15:00:00Z,2026-05-13T19:00:00Z,2026-05-14T02:28:12Z,RESTRAINT_TEST,COMPLETED,HIGH,7.47,vehicle cycle stopped for repeated lap-bar fault signal,LiftWorks
120,MNT0000120,35,2026-06-25T06:00:00Z,2026-06-25T09:00:00Z,,SENSOR_CALIBRATION,IN_PROGRESS,HIGH,5.12,vehicle cycle stopped for repeated lap-bar fault signal,InHouseOps
121,MNT0000121,11,2026-05-29T11:00:00Z,2026-05-29T13:00:00Z,2026-05-29T16:42:00Z,SENSOR_CALIBRATION,COMPLETED,MEDIUM,3.7,ride dispatch paused after restraint sensor mismatch,TrackLine
122,MNT0000122,52,2026-06-05T00:00:00Z,2026-06-05T08:00:00Z,2026-06-05T12:12:00Z,COSMETIC,COMPLETED,MEDIUM,4.2,guest flow backed up near accessibility entrance and dispatch lane,Apex Systems
123,MNT0000123,1,2026-06-02T19:00:00Z,2026-06-02T21:00:00Z,2026-06-03T02:21:36Z,INSPECTION,COMPLETED,LOW,5.36,guest flow backed up near accessibility entrance and dispatch lane,InHouseOps
124,MNT0000124,66,2026-05-12T04:00:00Z,2026-05-12T07:00:00Z,2026-05-12T10:07:48Z,INSPECTION,COMPLETED,LOW,3.13,boarding lane disruption caused temporary hold at the platform,Apex Systems
125,MNT0000125,63,2026-08-20T15:00:00Z,2026-08-21T00:00:00Z,2026-08-21T02:38:24Z,COSMETIC,COMPLETED,LOW,2.64,boarding lane disruption caused temporary hold at the platform,LiftWorks
126,MNT0000126,32,2026-05-06T08:00:00Z,,,COSMETIC,SCHEDULED,LOW,4.61,boarding lane disruption caused temporary hold at the platform,InHouseOps
127,MNT0000127,47,2026-08-17T00:00:00Z,2026-08-17T07:00:00Z,2026-08-17T11:59:24Z,SENSOR_CALIBRATION,DELAYED,MEDIUM,2.99,ride dispatch paused after restraint sensor mismatch,MotionLab
128,MNT0000128,1,2026-07-06T03:00:00Z,2026-07-06T09:00:00Z,,EMERGENCY_REPAIR,IN_PROGRESS,CRITICAL,5.91,ride control panel triggered a protective shutdown during load,InHouseOps
129,MNT0000129,31,2026-08-26T08:00:00Z,2026-08-26T16:00:00Z,2026-08-27T00:58:12Z,EMERGENCY_REPAIR,DELAYED,HIGH,6.97,ride dispatch paused after restraint sensor mismatch,Apex Systems
