RideId,RideCode,Zone,RideName,RideType,ThrillLevel,HeightRequirementCm,CapacityPerHour,OpeningDate,AccessibilitySupport,Status
43,RID00043,23,Coral Slide,WATER_RIDE,2,115,963,2024-03-05T00:00:00Z,STANDARD,OPERATING
44,RID00044,29,Carousel Flight,FAMILY_FLAT,1,72,984,2024-07-01T00:00:00Z,ENHANCED,OPERATING
45,RID00045,17,Portal Mission,SIMULATOR,3,121,1217,2023-06-23T00:00:00Z,ENHANCED,OPERATING
46,RID00046,5,Midnight Voyage,DARK_RIDE,1,88,1092,2024-12-29T00:00:00Z,ENHANCED,LIMITED_HOURS
47,RID00047,19,Echo Mission,SIMULATOR,4,100,809,2024-10-08T00:00:00Z,STANDARD,OPERATING
48,RID00048,7,Echo Journey,SIMULATOR,4,99,1209,2024-09-10T00:00:00Z,ENHANCED,OPERATING
49,RID00049,12,Carousel Dash,FAMILY_FLAT,1,12,710,2022-03-17T00:00:00Z,ENHANCED,OPERATING
50,RID00050,23,Breaker Surge,WATER_RIDE,2,116,933,2024-04-26T00:00:00Z,PARTIAL,OPERATING
51,RID00051,6,Harbor Dash,FAMILY_FLAT,1,0,1090,2024-05-13T00:00:00Z,ENHANCED,OPERATING
52,RID00052,11,Midnight Chronicle,DARK_RIDE,3,18,1149,2022-10-23T00:00:00Z,STANDARD,OPERATING
53,RID00053,20,Velocity Spiral,COASTER,5,122,1378,2024-04-06T00:00:00Z,LIMITED,LIMITED_HOURS
54,RID00054,23,Summit Launch,DROP_TOWER,5,122,677,2022-01-13T00:00:00Z,PARTIAL,OPERATING
55,RID00055,12,Cloud Flight,FAMILY_FLAT,1,37,910,2025-04-18T00:00:00Z,STANDARD,OPERATING
56,RID00056,18,Portal Jump,SIMULATOR,2,112,913,2022-05-23T00:00:00Z,STANDARD,OPERATING
57,RID00057,26,Nova Rescue,SIMULATOR,4,98,1321,2024-12-11T00:00:00Z,ENHANCED,OPERATING
58,RID00058,30,Nova Mission,SIMULATOR,3,97,799,2025-02-01T00:00:00Z,STANDARD,OPERATING
59,RID00059,23,Cloud Flight,FAMILY_FLAT,2,5,763,2021-12-14T00:00:00Z,ENHANCED,OPERATING
60,RID00060,24,Velocity Run,COASTER,5,124,1118,2022-03-22T00:00:00Z,LIMITED,OPERATING
61,RID00061,24,Phantom Expedition,DARK_RIDE,2,65,1439,2023-05-19T00:00:00Z,STANDARD,OPERATING
62,RID00062,20,River Plunge,LOG_FLUME,3,104,1051,2025-05-23T00:00:00Z,STANDARD,OPERATING
63,RID00063,3,Wave Quest,WATER_RIDE,4,113,717,2023-08-18T00:00:00Z,STANDARD,OPERATING
64,RID00064,28,Velocity Rush,COASTER,5,137,1203,2025-03-01T00:00:00Z,LIMITED,OPERATING
65,RID00065,7,Apex Launch,DROP_TOWER,5,134,489,2023-10-06T00:00:00Z,STANDARD,OPERATING
66,RID00066,17,Velocity Drop,COASTER,5,131,1075,2024-01-13T00:00:00Z,PARTIAL,OPERATING
67,RID00067,20,Neptune Slide,WATER_RIDE,4,126,1239,2022-08-06T00:00:00Z,PARTIAL,OPERATING
68,RID00068,14,Gravity Plunge,DROP_TOWER,4,124,383,2024-12-09T00:00:00Z,STANDARD,STANDBY
69,RID00069,8,Neptune Surge,WATER_RIDE,3,120,1243,2025-04-24T00:00:00Z,STANDARD,OPERATING
70,RID00070,7,Midnight Expedition,DARK_RIDE,1,100,1266,2025-09-16T00:00:00Z,STANDARD,OPERATING
71,RID00071,2,Comet Run,COASTER,4,124,1397,2024-12-31T00:00:00Z,LIMITED,OPERATING
72,RID00072,7,Mystic Drift,DARK_RIDE,2,5,894,2023-04-22T00:00:00Z,STANDARD,OPERATING
73,RID00073,23,Phantom Chronicle,DARK_RIDE,2,61,772,2024-01-29T00:00:00Z,STANDARD,OPERATING
74,RID00074,7,Iron Drop,COASTER,4,138,1679,2024-03-01T00:00:00Z,PARTIAL,OPERATING
75,RID00075,16,Tidal Falls,LOG_FLUME,3,115,923,2024-09-07T00:00:00Z,ENHANCED,OPERATING
76,RID00076,24,Velocity Run,COASTER,4,122,1112,2022-10-15T00:00:00Z,PARTIAL,OPERATING
77,RID00077,20,Portal Rescue,SIMULATOR,2,115,948,2024-10-09T00:00:00Z,ENHANCED,OPERATING
78,RID00078,3,Canyon Current,LOG_FLUME,2,117,933,2024-02-16T00:00:00Z,STANDARD,SEASONAL
79,RID00079,29,Lagoon Slide,WATER_RIDE,4,124,630,2023-12-27T00:00:00Z,PARTIAL,SEASONAL
80,RID00080,4,Midnight Expedition,DARK_RIDE,3,77,737,2023-09-26T00:00:00Z,STANDARD,STANDBY
81,RID00081,11,Iron Spiral,COASTER,4,127,1190,2024-02-15T00:00:00Z,LIMITED,OPERATING
82,RID00082,8,Timber Run,LOG_FLUME,2,104,808,2023-07-30T00:00:00Z,ENHANCED,OPERATING
83,RID00083,16,Wave Chase,WATER_RIDE,4,123,839,2024-03-02T00:00:00Z,STANDARD,OPERATING
84,RID00084,23,Lantern Flight,FAMILY_FLAT,1,13,781,2022-11-14T00:00:00Z,STANDARD,OPERATING
85,RID00085,24,Carousel Spin,FAMILY_FLAT,1,26,805,2022-12-24T00:00:00Z,STANDARD,OPERATING
86,RID00086,30,Portal Jump,SIMULATOR,3,104,1160,2025-06-25T00:00:00Z,STANDARD,OPERATING
87,RID00087,11,Mystic Chronicle,DARK_RIDE,3,65,810,2022-10-04T00:00:00Z,ENHANCED,OPERATING
88,RID00088,30,River Falls,LOG_FLUME,3,104,961,2024-04-12T00:00:00Z,STANDARD,OPERATING
89,RID00089,7,Orbit Rescue,SIMULATOR,4,109,643,2023-05-06T00:00:00Z,STANDARD,OPERATING
90,RID00090,30,Lantern Dash,FAMILY_FLAT,1,50,748,2023-06-05T00:00:00Z,ENHANCED,OPERATING
91,RID00091,30,Orbit Drive,SIMULATOR,4,121,1147,2023-06-28T00:00:00Z,ENHANCED,OPERATING
92,RID00092,27,Timber Current,LOG_FLUME,3,122,873,2022-04-03T00:00:00Z,ENHANCED,OPERATING
93,RID00093,26,Mystic Cavern,DARK_RIDE,2,8,908,2022-09-01T00:00:00Z,ENHANCED,OPERATING
94,RID00094,14,Velocity Run,COASTER,4,139,959,2024-10-19T00:00:00Z,PARTIAL,OPERATING
95,RID00095,27,Splash Rapids,LOG_FLUME,2,117,1173,2025-02-14T00:00:00Z,STANDARD,OPERATING
96,RID00096,8,Portal Drive,SIMULATOR,4,103,982,2022-12-26T00:00:00Z,STANDARD,OPERATING
97,RID00097,8,Comet Drop,COASTER,4,135,1045,2023-12-17T00:00:00Z,LIMITED,OPERATING
98,RID00098,8,Summit Fall,DROP_TOWER,5,124,509,2024-03-30T00:00:00Z,STANDARD,OPERATING
99,RID00099,2,Carousel Spin,FAMILY_FLAT,2,32,625,2025-09-07T00:00:00Z,STANDARD,OPERATING
100,RID00100,8,Echo Jump,SIMULATOR,2,112,908,2021-12-24T00:00:00Z,ENHANCED,OPERATING
101,RID00101,14,Nova Mission,SIMULATOR,4,100,1038,2023-08-14T00:00:00Z,STANDARD,OPERATING
102,RID00102,7,Thunder Run,COASTER,5,136,1538,2023-11-29T00:00:00Z,LIMITED,OPERATING
103,RID00103,23,Harbor Dash,FAMILY_FLAT,1,14,718,2024-03-12T00:00:00Z,ENHANCED,OPERATING
104,RID00104,30,Festival Dash,FAMILY_FLAT,1,45,574,2025-01-12T00:00:00Z,STANDARD,OPERATING
105,RID00105,7,Festival Flight,FAMILY_FLAT,2,68,798,2022-07-26T00:00:00Z,STANDARD,OPERATING
106,RID00106,30,Coral Slide,WATER_RIDE,3,110,751,2023-04-02T00:00:00Z,PARTIAL,OPERATING
107,RID00107,3,Portal Drive,SIMULATOR,3,107,1139,2024-06-05T00:00:00Z,ENHANCED,OPERATING
108,RID00108,8,Vortex Run,COASTER,5,140,1603,2024-07-05T00:00:00Z,STANDARD,OPERATING
109,RID00109,12,Splash Rapids,LOG_FLUME,3,111,1146,2024-06-08T00:00:00Z,STANDARD,OPERATING
110,RID00110,24,Mystic Chronicle,DARK_RIDE,2,0,1373,2022-08-07T00:00:00Z,ENHANCED,OPERATING
111,RID00111,29,Gravity Fall,DROP_TOWER,4,135,635,2022-03-16T00:00:00Z,STANDARD,OPERATING
112,RID00112,21,Lantern Flight,FAMILY_FLAT,2,36,530,2023-08-13T00:00:00Z,ENHANCED,OPERATING
