IncidentId,IncidentNumber,Park,Zone,Ride,Ticket,ReportedEmployee,IncidentAt,IncidentType,Severity,Status,ImpactMinutes,Description,ResolutionSummary
30,INC0000030,6,28,64,,203,2026-05-02T22:22:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,20,ride dispatch paused after restraint sensor mismatch,maintenance reset the affected train and completed a test cycle
31,INC0000031,3,3,107,1338,387,2026-06-16T03:28:00Z,RIDE_OUTAGE,LOW,RESOLVED,23,ride control panel triggered a protective shutdown during load,maintenance reset the affected train and completed a test cycle
32,INC0000032,3,3,107,1527,182,2026-05-27T22:23:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,19,queue line stalled after merge-point crowding increased wait times,queue control adjustments cleared the bottleneck
33,INC0000033,4,18,,2030,129,2026-07-05T00:26:00Z,COSTUME_MALFUNCTION,CRITICAL,RESOLVED,197,costume zipper failure interrupted the scheduled meet-and-greet,entertainment leadership moved the greeting indoors and completed the set
34,INC0000034,5,19,47,2787,5,2026-08-12T13:48:00Z,QUEUE_DISRUPTION,MEDIUM,RESOLVED,46,boarding lane disruption caused temporary hold at the platform,staff rerouted the queue and restored dispatch rhythm
35,INC0000035,4,20,62,,279,2026-07-02T20:49:00Z,WEATHER_DELAY,LOW,RESOLVED,9,operations paused because wind gusts exceeded operating limits,park operations delayed reopening until wind readings normalized
36,INC0000036,1,25,31,573,374,2026-05-17T20:33:00Z,QUEUE_DISRUPTION,MEDIUM,RESOLVED,52,boarding lane disruption caused temporary hold at the platform,staff rerouted the queue and restored dispatch rhythm
37,INC0000037,3,26,,,289,2026-08-14T19:09:00Z,GUEST_MEDICAL,MEDIUM,RESOLVED,44,guest reported dizziness while exiting the attraction,guest party received follow-up support and relocation assistance
38,INC0000038,2,6,12,,39,2026-06-26T21:10:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,12,boarding lane disruption caused temporary hold at the platform,staff rerouted the queue and restored dispatch rhythm
39,INC0000039,4,20,53,,32,2026-05-12T04:33:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,54,ride control panel triggered a protective shutdown during load,maintenance reset the affected train and completed a test cycle
40,INC0000040,1,2,99,,388,2026-06-25T20:56:00Z,WEATHER_DELAY,MEDIUM,RESOLVED,45,operations paused because wind gusts exceeded operating limits,park operations delayed reopening until wind readings normalized
41,INC0000041,6,28,64,,203,2026-08-07T13:36:00Z,WEATHER_DELAY,CRITICAL,RESOLVED,108,storm band forced temporary outdoor attraction shutdown,affected guests received recovery entitlements during the delay window
42,INC0000042,1,27,,,173,2026-06-14T00:02:00Z,LOST_CHILD,MEDIUM,RESOLVED,35,child location support requested after queue handoff confusion,the park-wide locate protocol resolved the incident within minutes
43,INC0000043,6,11,81,,164,2026-08-11T02:07:00Z,QUEUE_DISRUPTION,HIGH,RESOLVED,86,boarding lane disruption caused temporary hold at the platform,queue control adjustments cleared the bottleneck
44,INC0000044,4,18,56,,311,2026-05-02T21:09:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,24,guest flow backed up near accessibility entrance and dispatch lane,extra attendants reopened the merge lane and stabilized throughput
45,INC0000045,5,12,,1117,216,2026-06-30T09:57:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,35,guest behavior required supervisor and security response,the incident was documented and the zone reopened after clearance
46,INC0000046,1,2,,,407,2026-07-16T06:04:00Z,LOST_CHILD,MEDIUM,RESOLVED,28,party separation reported near the character greeting area,the park-wide locate protocol resolved the incident within minutes
47,INC0000047,5,12,,1704,108,2026-08-18T13:42:00Z,FOOD_SPILL,MEDIUM,RESOLVED,38,walkway cleanup required after beverage spill near ride exit,temporary routing was removed after cleanup inspection
48,INC0000048,3,26,,3967,128,2026-08-24T17:43:00Z,FOOD_SPILL,MEDIUM,RESOLVED,34,walkway cleanup required after beverage spill near ride exit,custodial staff sanitized the area and reopened the walkway
49,INC0000049,3,8,,3432,405,2026-05-09T17:11:00Z,GUEST_MEDICAL,LOW,RESOLVED,9,minor first-aid event reported near the attraction exit,medical response closed the incident after hydration and observation
50,INC0000050,6,24,110,1206,281,2026-06-06T19:34:00Z,WEATHER_DELAY,MEDIUM,RESOLVED,28,ride suspended after lightning alert reached the park perimeter,operations resumed after the weather window cleared and all checks passed
51,INC0000051,1,2,71,,352,2026-07-03T08:07:00Z,WEATHER_DELAY,LOW,RESOLVED,11,operations paused because wind gusts exceeded operating limits,affected guests received recovery entitlements during the delay window
52,INC0000052,4,15,19,,322,2026-07-03T06:56:00Z,RIDE_OUTAGE,HIGH,RESOLVED,106,vehicle cycle stopped for repeated lap-bar fault signal,ops transferred guests to alternate attractions with recovery passes
53,INC0000053,1,23,,,161,2026-08-20T23:36:00Z,SECURITY_ESCALATION,CRITICAL,RESOLVED,220,guest behavior required supervisor and security response,the incident was documented and the zone reopened after clearance
54,INC0000054,1,27,26,,300,2026-06-05T01:10:00Z,RIDE_OUTAGE,LOW,RESOLVED,24,ride dispatch paused after restraint sensor mismatch,ride reopened after sensor calibration and supervisor sign-off
55,INC0000055,2,4,,,293,2026-08-02T16:49:00Z,SECURITY_ESCALATION,LOW,RESOLVED,12,restricted-area access attempt triggered a localized security hold,security resolved the situation and released the area back to operations
56,INC0000056,1,25,33,,209,2026-06-01T17:37:00Z,QUEUE_DISRUPTION,CRITICAL,RESOLVED,151,guest flow backed up near accessibility entrance and dispatch lane,extra attendants reopened the merge lane and stabilized throughput
57,INC0000057,6,13,,1629,203,2026-06-13T16:02:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,18,bag-screening disagreement escalated at the zone entry point,supervisor intervention de-escalated the guest interaction without further disruption
58,INC0000058,2,6,12,2614,28,2026-06-08T18:02:00Z,RIDE_OUTAGE,HIGH,RESOLVED,109,vehicle cycle stopped for repeated lap-bar fault signal,ride reopened after sensor calibration and supervisor sign-off
59,INC0000059,2,30,,,343,2026-06-17T23:50:00Z,COSTUME_MALFUNCTION,HIGH,RESOLVED,37,mascot costume cooling unit failed during outdoor appearance,the appearance was rescheduled and affected guests received digital recovery cards
60,INC0000060,1,23,,,380,2026-06-05T05:07:00Z,LOST_CHILD,MEDIUM,RESOLVED,18,guardian reported missing child near a parade crossover point,guest relations completed identity verification and family reunification
61,INC0000061,6,13,11,1131,61,2026-08-07T16:36:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,22,vehicle cycle stopped for repeated lap-bar fault signal,ops transferred guests to alternate attractions with recovery passes
62,INC0000062,1,25,24,3742,72,2026-08-06T00:47:00Z,QUEUE_DISRUPTION,CRITICAL,RESOLVED,225,guest flow backed up near accessibility entrance and dispatch lane,queue control adjustments cleared the bottleneck
63,INC0000063,6,28,64,,414,2026-06-01T15:20:00Z,QUEUE_DISRUPTION,HIGH,RESOLVED,89,boarding lane disruption caused temporary hold at the platform,extra attendants reopened the merge lane and stabilized throughput
64,INC0000064,6,13,,,394,2026-07-17T13:10:00Z,GUEST_MEDICAL,MEDIUM,RESOLVED,44,guest reported dizziness while exiting the attraction,first-aid team completed assessment and escorted the guest to rest area
65,INC0000065,1,2,,,386,2026-06-22T20:02:00Z,GUEST_MEDICAL,LOW,RESOLVED,20,queue guest requested assistance after heat-related fatigue,guest party received follow-up support and relocation assistance
66,INC0000066,6,24,85,2121,319,2026-08-03T00:27:00Z,WEATHER_DELAY,HIGH,RESOLVED,77,storm band forced temporary outdoor attraction shutdown,affected guests received recovery entitlements during the delay window
67,INC0000067,2,6,27,,100,2026-06-29T19:56:00Z,RIDE_OUTAGE,CRITICAL,ESCALATED,167,ride dispatch paused after restraint sensor mismatch,ride reopened after sensor calibration and supervisor sign-off
68,INC0000068,2,4,,,104,2026-05-24T18:40:00Z,GUEST_MEDICAL,MEDIUM,RESOLVED,45,minor first-aid event reported near the attraction exit,first-aid team completed assessment and escorted the guest to rest area
69,INC0000069,3,3,3,,362,2026-06-28T23:54:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,27,ride control panel triggered a protective shutdown during load,ops transferred guests to alternate attractions with recovery passes
70,INC0000070,6,14,,,87,2026-05-30T06:14:00Z,COSTUME_MALFUNCTION,LOW,RESOLVED,24,costume zipper failure interrupted the scheduled meet-and-greet,costuming swapped the performer into a backup suit and resumed appearances
71,INC0000071,5,12,,,159,2026-06-04T00:50:00Z,GUEST_MEDICAL,LOW,RESOLVED,20,guest reported dizziness while exiting the attraction,guest party received follow-up support and relocation assistance
72,INC0000072,5,21,112,,264,2026-08-16T15:06:00Z,RIDE_OUTAGE,HIGH,RESOLVED,112,ride control panel triggered a protective shutdown during load,ride reopened after sensor calibration and supervisor sign-off
73,INC0000073,1,27,,70,300,2026-05-05T02:53:00Z,FOOD_SPILL,LOW,RESOLVED,15,walkway cleanup required after beverage spill near ride exit,custodial staff sanitized the area and reopened the walkway
74,INC0000074,2,6,,,314,2026-08-15T17:14:00Z,COSTUME_MALFUNCTION,MEDIUM,RESOLVED,53,character performer requested backstage relief after visibility issue,costuming swapped the performer into a backup suit and resumed appearances
75,INC0000075,2,6,12,559,160,2026-05-25T00:04:00Z,QUEUE_DISRUPTION,HIGH,RESOLVED,71,queue line stalled after merge-point crowding increased wait times,extra attendants reopened the merge lane and stabilized throughput
76,INC0000076,1,23,,,364,2026-07-14T06:07:00Z,SECURITY_ESCALATION,LOW,RESOLVED,22,restricted-area access attempt triggered a localized security hold,supervisor intervention de-escalated the guest interaction without further disruption
77,INC0000077,1,27,95,,380,2026-08-27T21:39:00Z,RIDE_OUTAGE,LOW,RESOLVED,10,ride dispatch paused after restraint sensor mismatch,maintenance reset the affected train and completed a test cycle
78,INC0000078,5,5,,,375,2026-06-22T06:46:00Z,FOOD_SPILL,CRITICAL,RESOLVED,191,food cart overflow caused temporary slip-hazard closure,the spill response team cleared the hazard and restored access
79,INC0000079,4,15,19,3108,93,2026-06-23T16:01:00Z,WEATHER_DELAY,HIGH,RESOLVED,52,ride suspended after lightning alert reached the park perimeter,operations resumed after the weather window cleared and all checks passed
80,INC0000080,3,8,,,400,2026-06-23T15:16:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,22,restricted-area access attempt triggered a localized security hold,security resolved the situation and released the area back to operations
81,INC0000081,1,2,99,,364,2026-08-14T21:16:00Z,QUEUE_DISRUPTION,CRITICAL,CLOSED_WITH_FOLLOWUP,237,boarding lane disruption caused temporary hold at the platform,queue control adjustments cleared the bottleneck
82,INC0000082,6,11,52,,64,2026-05-13T21:39:00Z,RIDE_OUTAGE,HIGH,RESOLVED,113,vehicle cycle stopped for repeated lap-bar fault signal,ride reopened after sensor calibration and supervisor sign-off
83,INC0000083,2,4,2,2492,100,2026-06-09T17:57:00Z,RIDE_OUTAGE,HIGH,RESOLVED,54,ride control panel triggered a protective shutdown during load,maintenance reset the affected train and completed a test cycle
84,INC0000084,4,15,,1256,322,2026-08-14T13:24:00Z,LOST_CHILD,LOW,RESOLVED,22,child location support requested after queue handoff confusion,guest relations completed identity verification and family reunification
85,INC0000085,1,23,54,,320,2026-05-29T01:23:00Z,QUEUE_DISRUPTION,CRITICAL,RESOLVED,220,queue line stalled after merge-point crowding increased wait times,staff rerouted the queue and restored dispatch rhythm
86,INC0000086,4,20,77,674,144,2026-06-03T17:38:00Z,RIDE_OUTAGE,LOW,RESOLVED,15,ride dispatch paused after restraint sensor mismatch,ride reopened after sensor calibration and supervisor sign-off
87,INC0000087,5,19,47,1193,299,2026-05-28T16:05:00Z,WEATHER_DELAY,CRITICAL,RESOLVED,150,storm band forced temporary outdoor attraction shutdown,operations resumed after the weather window cleared and all checks passed
88,INC0000088,5,19,,432,186,2026-05-22T09:16:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,41,bag-screening disagreement escalated at the zone entry point,security resolved the situation and released the area back to operations
89,INC0000089,1,23,59,,270,2026-06-22T17:44:00Z,QUEUE_DISRUPTION,HIGH,RESOLVED,117,boarding lane disruption caused temporary hold at the platform,queue control adjustments cleared the bottleneck
90,INC0000090,4,20,,,286,2026-06-28T20:17:00Z,LOST_CHILD,MEDIUM,RESOLVED,21,child location support requested after queue handoff confusion,the park-wide locate protocol resolved the incident within minutes
91,INC0000091,1,27,,2747,386,2026-07-19T11:25:00Z,GUEST_MEDICAL,LOW,RESOLVED,24,guest reported dizziness while exiting the attraction,guest party received follow-up support and relocation assistance
92,INC0000092,3,7,74,4085,276,2026-05-01T12:25:00Z,RIDE_OUTAGE,LOW,RESOLVED,16,vehicle cycle stopped for repeated lap-bar fault signal,ride reopened after sensor calibration and supervisor sign-off
93,INC0000093,1,23,103,,351,2026-08-12T18:34:00Z,WEATHER_DELAY,CRITICAL,ESCALATED,175,operations paused because wind gusts exceeded operating limits,park operations delayed reopening until wind readings normalized
94,INC0000094,4,15,19,,283,2026-06-19T19:27:00Z,WEATHER_DELAY,MEDIUM,RESOLVED,22,operations paused because wind gusts exceeded operating limits,park operations delayed reopening until wind readings normalized
95,INC0000095,2,6,27,3439,338,2026-08-10T01:36:00Z,RIDE_OUTAGE,LOW,RESOLVED,17,ride control panel triggered a protective shutdown during load,ops transferred guests to alternate attractions with recovery passes
96,INC0000096,2,30,,1415,47,2026-07-06T19:34:00Z,COSTUME_MALFUNCTION,MEDIUM,RESOLVED,34,character performer requested backstage relief after visibility issue,costuming swapped the performer into a backup suit and resumed appearances
97,INC0000097,2,4,17,,100,2026-07-08T01:30:00Z,RIDE_OUTAGE,HIGH,RESOLVED,35,ride control panel triggered a protective shutdown during load,ops transferred guests to alternate attractions with recovery passes
98,INC0000098,2,30,90,,171,2026-06-03T03:43:00Z,RIDE_OUTAGE,LOW,RESOLVED,20,vehicle cycle stopped for repeated lap-bar fault signal,ride reopened after sensor calibration and supervisor sign-off
99,INC0000099,6,14,,,392,2026-06-02T14:33:00Z,GUEST_MEDICAL,HIGH,RESOLVED,84,queue guest requested assistance after heat-related fatigue,medical response closed the incident after hydration and observation
100,INC0000100,3,29,20,3632,23,2026-08-12T02:45:00Z,RIDE_OUTAGE,LOW,RESOLVED,21,vehicle cycle stopped for repeated lap-bar fault signal,maintenance reset the affected train and completed a test cycle
101,INC0000101,4,18,,,311,2026-06-27T17:14:00Z,LOST_CHILD,CRITICAL,UNDER_REVIEW,151,party separation reported near the character greeting area,the park-wide locate protocol resolved the incident within minutes
102,INC0000102,5,17,,1719,410,2026-05-29T22:17:00Z,FOOD_SPILL,LOW,RESOLVED,23,condiment spill prompted rapid response from custodial crew,temporary routing was removed after cleanup inspection
103,INC0000103,5,12,,1460,350,2026-05-23T22:42:00Z,COSTUME_MALFUNCTION,HIGH,RESOLVED,50,character performer requested backstage relief after visibility issue,the appearance was rescheduled and affected guests received digital recovery cards
104,INC0000104,2,4,2,,271,2026-07-21T22:34:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,19,queue line stalled after merge-point crowding increased wait times,staff rerouted the queue and restored dispatch rhythm
105,INC0000105,6,13,11,2777,149,2026-06-01T18:15:00Z,RIDE_OUTAGE,CRITICAL,RESOLVED,178,ride control panel triggered a protective shutdown during load,maintenance reset the affected train and completed a test cycle
106,INC0000106,3,7,,,143,2026-06-09T00:12:00Z,COSTUME_MALFUNCTION,CRITICAL,CLOSED_WITH_FOLLOWUP,119,mascot costume cooling unit failed during outdoor appearance,entertainment leadership moved the greeting indoors and completed the set
107,INC0000107,6,14,14,1014,61,2026-06-02T01:17:00Z,QUEUE_DISRUPTION,HIGH,RESOLVED,71,boarding lane disruption caused temporary hold at the platform,queue control adjustments cleared the bottleneck
108,INC0000108,2,16,,,100,2026-08-22T15:39:00Z,LOST_CHILD,LOW,RESOLVED,12,child location support requested after queue handoff confusion,child was reunited with party after radio-assisted zone sweep
109,INC0000109,3,26,,,303,2026-05-24T22:16:00Z,FOOD_SPILL,HIGH,RESOLVED,53,food cart overflow caused temporary slip-hazard closure,custodial staff sanitized the area and reopened the walkway
110,INC0000110,5,12,,141,216,2026-06-26T17:18:00Z,LOST_CHILD,MEDIUM,RESOLVED,25,guardian reported missing child near a parade crossover point,the park-wide locate protocol resolved the incident within minutes
111,INC0000111,5,22,,2077,369,2026-07-01T15:51:00Z,GUEST_MEDICAL,LOW,RESOLVED,12,minor first-aid event reported near the attraction exit,first-aid team completed assessment and escorted the guest to rest area
112,INC0000112,4,18,56,2639,138,2026-06-29T22:57:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,20,guest flow backed up near accessibility entrance and dispatch lane,staff rerouted the queue and restored dispatch rhythm
113,INC0000113,4,18,,3819,13,2026-07-31T02:37:00Z,FOOD_SPILL,MEDIUM,RESOLVED,48,walkway cleanup required after beverage spill near ride exit,the spill response team cleared the hazard and restored access
114,INC0000114,3,7,65,,34,2026-08-23T21:17:00Z,WEATHER_DELAY,LOW,RESOLVED,8,operations paused because wind gusts exceeded operating limits,operations resumed after the weather window cleared and all checks passed
115,INC0000115,5,10,,,409,2026-06-21T15:52:00Z,FOOD_SPILL,MEDIUM,RESOLVED,51,food cart overflow caused temporary slip-hazard closure,custodial staff sanitized the area and reopened the walkway
116,INC0000116,6,24,,,87,2026-07-26T17:19:00Z,LOST_CHILD,HIGH,RESOLVED,94,party separation reported near the character greeting area,guest relations completed identity verification and family reunification
117,INC0000117,1,23,73,,173,2026-07-31T03:37:00Z,WEATHER_DELAY,HIGH,RESOLVED,52,operations paused because wind gusts exceeded operating limits,operations resumed after the weather window cleared and all checks passed
118,INC0000118,4,1,,3189,151,2026-07-01T21:49:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,32,restricted-area access attempt triggered a localized security hold,supervisor intervention de-escalated the guest interaction without further disruption
119,INC0000119,4,1,4,2940,283,2026-07-05T14:02:00Z,WEATHER_DELAY,HIGH,RESOLVED,59,storm band forced temporary outdoor attraction shutdown,operations resumed after the weather window cleared and all checks passed
120,INC0000120,2,6,,,239,2026-06-14T18:24:00Z,FOOD_SPILL,LOW,RESOLVED,23,condiment spill prompted rapid response from custodial crew,custodial staff sanitized the area and reopened the walkway
121,INC0000121,5,17,18,,316,2026-06-06T00:32:00Z,QUEUE_DISRUPTION,MEDIUM,RESOLVED,46,guest flow backed up near accessibility entrance and dispatch lane,extra attendants reopened the merge lane and stabilized throughput
122,INC0000122,5,5,9,1559,410,2026-05-26T22:02:00Z,RIDE_OUTAGE,LOW,RESOLVED,17,ride dispatch paused after restraint sensor mismatch,maintenance reset the affected train and completed a test cycle
123,INC0000123,1,27,,,201,2026-06-29T19:09:00Z,COSTUME_MALFUNCTION,MEDIUM,RESOLVED,22,mascot costume cooling unit failed during outdoor appearance,entertainment leadership moved the greeting indoors and completed the set
124,INC0000124,2,4,80,,370,2026-08-17T17:56:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,52,ride dispatch paused after restraint sensor mismatch,ride reopened after sensor calibration and supervisor sign-off
125,INC0000125,1,23,,,209,2026-08-01T22:43:00Z,COSTUME_MALFUNCTION,LOW,RESOLVED,9,mascot costume cooling unit failed during outdoor appearance,the appearance was rescheduled and affected guests received digital recovery cards
126,INC0000126,4,15,19,597,308,2026-07-04T08:22:00Z,QUEUE_DISRUPTION,LOW,RESOLVED,22,boarding lane disruption caused temporary hold at the platform,extra attendants reopened the merge lane and stabilized throughput
127,INC0000127,5,5,46,,92,2026-07-12T11:03:00Z,QUEUE_DISRUPTION,MEDIUM,RESOLVED,39,queue line stalled after merge-point crowding increased wait times,queue control adjustments cleared the bottleneck
128,INC0000128,6,11,,,304,2026-06-16T12:53:00Z,SECURITY_ESCALATION,MEDIUM,RESOLVED,33,guest behavior required supervisor and security response,supervisor intervention de-escalated the guest interaction without further disruption
129,INC0000129,5,19,,,346,2026-06-06T03:43:00Z,LOST_CHILD,LOW,RESOLVED,15,party separation reported near the character greeting area,the park-wide locate protocol resolved the incident within minutes
130,INC0000130,4,18,56,,219,2026-07-01T15:15:00Z,WEATHER_DELAY,MEDIUM,RESOLVED,31,storm band forced temporary outdoor attraction shutdown,affected guests received recovery entitlements during the delay window
131,INC0000131,5,10,,333,101,2026-08-12T18:27:00Z,COSTUME_MALFUNCTION,MEDIUM,RESOLVED,35,costume zipper failure interrupted the scheduled meet-and-greet,entertainment leadership moved the greeting indoors and completed the set
132,INC0000132,1,27,,,334,2026-08-24T18:08:00Z,LOST_CHILD,LOW,RESOLVED,13,party separation reported near the character greeting area,guest relations completed identity verification and family reunification
133,INC0000133,6,13,,3263,319,2026-05-16T21:38:00Z,GUEST_MEDICAL,LOW,RESOLVED,10,minor first-aid event reported near the attraction exit,first-aid team completed assessment and escorted the guest to rest area
134,INC0000134,4,15,19,674,144,2026-06-03T10:32:00Z,WEATHER_DELAY,HIGH,RESOLVED,114,storm band forced temporary outdoor attraction shutdown,operations resumed after the weather window cleared and all checks passed
135,INC0000135,1,2,99,3593,385,2026-07-29T18:24:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,31,vehicle cycle stopped for repeated lap-bar fault signal,ops transferred guests to alternate attractions with recovery passes
136,INC0000136,3,29,,,55,2026-05-22T14:55:00Z,COSTUME_MALFUNCTION,LOW,RESOLVED,20,character performer requested backstage relief after visibility issue,entertainment leadership moved the greeting indoors and completed the set
137,INC0000137,4,20,67,,129,2026-06-01T18:22:00Z,RIDE_OUTAGE,MEDIUM,RESOLVED,34,vehicle cycle stopped for repeated lap-bar fault signal,ride reopened after sensor calibration and supervisor sign-off
138,INC0000138,1,27,,,364,2026-05-14T12:20:00Z,FOOD_SPILL,HIGH,RESOLVED,108,condiment spill prompted rapid response from custodial crew,temporary routing was removed after cleanup inspection
139,INC0000139,2,4,2,3697,337,2026-07-06T17:08:00Z,RIDE_OUTAGE,HIGH,RESOLVED,66,ride dispatch paused after restraint sensor mismatch,ops transferred guests to alternate attractions with recovery passes
140,INC0000140,6,28,,,164,2026-06-01T19:07:00Z,SECURITY_ESCALATION,HIGH,RESOLVED,43,guest behavior required supervisor and security response,security resolved the situation and released the area back to operations
141,INC0000141,2,6,,,273,2026-06-12T23:10:00Z,COSTUME_MALFUNCTION,HIGH,RESOLVED,85,mascot costume cooling unit failed during outdoor appearance,the appearance was rescheduled and affected guests received digital recovery cards
